skill,category,level,demand,rarity
JavaScript,Programming,Intermediate,High,Low
Python,Programming,Advanced,Very High,Low
React,Frontend,Intermediate,High,Medium
Node.js,Backend,Intermediate,High,Medium
AWS,Cloud,Advanced,Very High,Medium
Docker,DevOps,Intermediate,High,Medium
Machine Learning,Data Science,Advanced,Very High,High
SQL,Database,Intermediate,High,Low
Tableau,Analytics,Intermediate,Medium,Medium
Statistics,Data Science,Advanced,High,Medium
Product Strategy,Management,Advanced,High,High
Agile,Methodology,Intermediate,High,Low
Analytics,Data Science,Intermediate,High,Medium
Leadership,Management,Advanced,Very High,High